"","Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"1","A1BG",8.47915325758492,0.182143221142124,1.13321993173401,0.160730689640638,0.872305516850165,0.999993603917205,"1"
"2","A1CF",1.4238818952217,2.8257724520064,3.05884804929244,0.923802819384912,0.355588987021562,0.999993603917205,"29974"
"3","A2M",715.987207538778,-0.196414942194902,0.24631406381828,-0.797416676701858,0.425209077059494,0.999993603917205,"2"
"4","A3GALT2",2.36632061882503,-0.212486738212735,2.58308123033288,-0.0822609586247319,0.93443919966505,0.999993603917205,"127550"
"5","AAAS",516.739890924817,0.308476532229545,0.326084586882414,0.946001573330363,0.344147783752845,0.999993603917205,"8086"
"6","AACS",332.572071257439,0.173714912427648,0.285365325094533,0.608745692456159,0.542693015441582,0.999993603917205,"65985"
"7","AAGAB",907.126383639588,0.148531930325846,0.250701612511913,0.592464997881847,0.553539252671044,0.999993603917205,"79719"
"8","AAK1",4768.62643176843,-0.348117708039152,0.262985872160589,-1.32371258265379,0.185598517976284,0.999993603917205,"22848"
"9","AAMDC",21.8568394650181,0.920130300896362,0.674588644439163,1.36398723649038,0.172571582767141,0.999993603917205,"28971"
"10","AAMP",801.561542528643,0.480044678003216,0.336040804983784,1.42853091316211,0.153139103415415,0.999993603917205,"14"
"11","AANAT",11.7665196302605,-0.405886387250321,0.941684437865834,-0.431021657499398,0.666452623085882,0.999993603917205,"15"
"12","AAR2",587.83265135264,0.182352414174391,0.246040896830808,0.741146762685501,0.45860445862154,0.999993603917205,"25980"
"13","AARD",2.04826462305764,-0.820900658813855,3.18172221958707,-0.258005131233736,0.796402947113378,0.999993603917205,"441376"
"14","AARS2",290.687393581867,0.393771389332341,0.377977646576513,1.04178485923408,0.297511435352856,0.999993603917205,"57505"
"15","AARSD1",33.1191549842497,0.322306695571269,0.553333497099825,0.582481807554698,0.560242192024912,0.999993603917205,"80755"
"16","AASDH",343.82913381032,-0.288321355981461,0.327145586446261,-0.881324303083092,0.378142315645892,0.999993603917205,"132949"
"17","AASDHPPT",821.259905736937,-0.221156070145584,0.33028074898595,-0.669600244109268,0.503112658411209,0.999993603917205,"60496"
"18","AASS",50.3883254778578,-0.221645386303403,0.596934312897942,-0.371306158004855,0.710409511865297,0.999993603917205,"10157"
"19","AATF",925.860336388313,0.279153638181501,0.278109391058608,1.00375480712434,0.315496812497072,0.999993603917205,"26574"
"20","AATK",12.6154390501003,0.601749459778249,1.55758438078128,0.386335062936631,0.699248535940533,0.999993603917205,"9625"
"21","ABAT",819.213397928007,0.0629764351262874,0.259336970399815,0.242836318436195,0.808132199460398,0.999993603917205,"18"
"22","ABCA1",24.2427195904545,0.777896183331598,1.10744214649021,0.702426023604904,0.482413520835526,0.999993603917205,"19"
"23","ABCA10",76.1962147539605,-0.0227015989925593,0.462061532665363,-0.0491311165021832,0.960814805960304,0.999993603917205,"10349"
"24","ABCA12",1.70675881664886,1.36569426082069,2.49280100540654,0.547855307286339,0.583791258755986,0.999993603917205,"26154"
"25","ABCA2",6112.87000267054,-0.131285645780233,0.255412276008055,-0.514014626987205,0.607241764240844,0.999993603917205,"20"
"26","ABCA3",175.666142138981,-0.0123976521742045,0.478241676905576,-0.0259234039459348,0.979318432668402,0.999993603917205,"21"
"27","ABCA5",1283.89684626534,-0.306752001662983,0.273747569449746,-1.12056520640376,0.262472982224498,0.999993603917205,"23461"
"28","ABCA6",2.57921736715501,0.991991717299337,2.16319384406795,0.45857735774334,0.646537699342554,0.999993603917205,"23460"
"29","ABCA7",4027.31060589694,-0.1197521408115,0.304773550426412,-0.392921697581543,0.694377315454688,0.999993603917205,"10347"
"30","ABCB1",3603.11068343364,-0.30075665883327,0.301296713128887,-0.998207566587736,0.318178718093121,0.999993603917205,"5243"
"31","ABCB10",868.536027446742,-0.330989390023424,0.296489627395792,-1.11636077434027,0.264267736868282,0.999993603917205,"23456"
"32","ABCB4",6.63678117909264,0.70804090674273,1.42262499924799,0.497700312532821,0.618695287779297,0.999993603917205,"5244"
"33","ABCB6",59.134442503303,0.584025542727201,0.51582956346853,1.13220641872503,0.257547662192482,0.999993603917205,"10058"
"34","ABCB7",420.131865334606,-0.0494331148347611,0.258062472480518,-0.191554836933886,0.84809092218128,0.999993603917205,"22"
"35","ABCB8",825.113022677643,0.174830723382651,0.226482036718745,0.771940794579495,0.4401494942208,0.999993603917205,"11194"
"36","ABCB9",29.1725337450288,0.176289758210876,0.652929159253227,0.269998292636376,0.787161567122294,0.999993603917205,"23457"
